system,report_date,section,kpi_text,status_name,status_symbol,source_file,primary_kpi
A1C,2025-09-30,,"Analysis from22.09.2025Until28.09.2025Report:A1C, ProductiveInstallation:0021277797Session:7000000090431",GREEN,🟢,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,
A1C,2025-09-30,,This                                                                                                                             EarlyWatch Alert session detected issues that could potentially affect your system.Please evaluate the recommendations.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,
A1C,2025-09-30,,Transport execution errors occurred during import into production,RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,Software Change and Transport Management of A1C
A1C,2025-09-30,,HANA-A1H: SAP HANA database: No consistency checks are scheduled.,RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,SAP HANA Database A1H
A1C,2025-09-30,,HANA-A1H: SAP HANA database: User SYSTEM is active and valid.,RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,SAP HANA Database A1H
A1C,2025-09-30,,"Users with critical authorizations, which allow to do anything in client 000",RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,Security
A1C,2025-09-30,,"Users with critical authorizations, which allow to do anything in other client(s) than 000",RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,Security
A1C,2025-09-30,,Critical standard users have default passwords in client 000,RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,
A1C,2025-09-30,,"User SAP* does not exists in client 000, allowing critical logon to the system",RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,
A1C,2025-09-30,,HANA-S2H: SAP HANA database: Some issues for operating or administration in terms of log backup/recovery have been detected.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,SAP HANA Database A1H
A1C,2025-09-30,,HANA-A1H: SAP HANA database: Some issues for operating or administration in terms of data backup/recovery have been detected.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,SAP HANA Database A1H
A1C,2025-09-30,,HANA-D1H: SAP HANA database: Some issues for operating or administration in terms of data backup/recovery have been detected.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,SAP HANA Database A1H
A1C,2025-09-30,,HANA-Q1H: SAP HANA database: Some issues for operating or administration in terms of data backup/recovery have been detected.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,SAP HANA Database A1H
A1C,2025-09-30,,HANA-S2H: SAP HANA database: Some issues for operating or administration in terms of data backup/recovery have been detected.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,SAP HANA Database A1H
A1C,2025-09-30,,616  Transportation Management relevant Post Processing Framework actions are scheduled but not processed,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,Software Change and Transport Management of A1C
A1C,2025-09-30,,7  Transportation Management relevant inbound bgRFCs are in error state,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,Software Change and Transport Management of A1C
A1C,2025-09-30,,2865  Freight Order Management and 2  Freight Settlement documents are open more than one year,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,
A1C,2025-09-30,,Some Transportation Management relevant important Jobs are not scheduled,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,Software Change and Transport Management of A1C
A1C,2025-09-30,,326  Transportation Management Post Processing Framework actions are in error state,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,Software Change and Transport Management of A1C
A1C,2025-09-30,,We found more than 30 ABAP dumps in your system.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,
A1C,2025-09-30,,HANA-D1H: SAP HANA database: Parameters are not set in accordance with the recommendation.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,SAP HANA Database A1H
A1C,2025-09-30,,HANA-Q1H: SAP HANA database: Parameters are not set in accordance with the recommendation.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,SAP HANA Database A1H
A1C,2025-09-30,,HANA-S2H: SAP HANA database: Parameters are not set in accordance with the recommendation.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,SAP HANA Database A1H
A1C,2025-09-30,,HANA-A1H: SAP HANA database: Parameters are not set in accordance with the recommendation.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,SAP HANA Database A1H
A1C,2025-09-30,,HANA-D1H: SAP HANA database: Few SAP HANA dumps occurred on your system.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,SAP HANA Database A1H
A1C,2025-09-30,,Readiness of your system for SAP Remote Service has not been verified by running report RTCCTOOL.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,
A1C,2025-09-30,,HANA-A1H: SAP HANA database: Users with critical privilege DATA ADMIN.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,SAP HANA Database A1H
