system,report_date,section,kpi_text,status_name,status_symbol,source_file,primary_kpi
P1C,2025-12-30,,"Analysis from22.12.2025Until28.12.2025Report:P1C, ProductiveInstallation:0021277797Session:7000000093337",GREEN,🟢,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,
P1C,2025-12-30,,The                                                                                                                              EarlyWatch                                                                                                                          Alert service has detected severe problems that may cause you to lose business.Please evaluate the recommendations.,RED,🔴,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,
P1C,2025-12-30,,SAP HANA database: Number of Records exceeds critical limit.,RED,🔴,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,SAP HANA Database A1H
P1C,2025-12-30,,We found some Freight Settlement Documents' lifecycle status are inconsistent,RED,🔴,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,
P1C,2025-12-30,,SAP Software on this system is outdated. Support with SAP Security Notes is no longer ensured.,RED,🔴,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,Security
P1C,2025-12-30,,"Users with critical authorizations, which allow to do anything in client 000",RED,🔴,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,Security
P1C,2025-12-30,,"Users with critical authorizations, which allow to do anything in other client(s) than 000",RED,🔴,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,Security
P1C,2025-12-30,,263  Transportation Management relevant Post Processing Framework actions are scheduled but not processed,YELLOW,🟡,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,Software Change and Transport Management of A1C
P1C,2025-12-30,,148  Transportation Management relevant inbound bgRFCs are in error state,YELLOW,🟡,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,Software Change and Transport Management of A1C
P1C,2025-12-30,,61405  Freight Order Management and 47  Freight Settlement documents are open more than one year,YELLOW,🟡,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,
P1C,2025-12-30,,Some Transportation Management relevant important Jobs are not scheduled,YELLOW,🟡,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,Software Change and Transport Management of A1C
P1C,2025-12-30,,111  Transportation Management Post Processing Framework actions are in error state,YELLOW,🟡,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,Software Change and Transport Management of A1C
P1C,2025-12-30,,We found more than 30 ABAP dumps in your system.,YELLOW,🟡,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,
P1C,2025-12-30,,SAP HANA database: Parameters are not set in accordance with the recommendation.,YELLOW,🟡,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,SAP HANA Database A1H
P1C,2025-12-30,,Readiness of your system for SAP Remote Service has not been verified by running report RTCCTOOL.,YELLOW,🟡,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,
P1C,2025-12-30,,Missing index causes expensive SQL statement.,YELLOW,🟡,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,
P1C,2025-12-30,,SAP HANA database: Users with critical privilege DATA ADMIN.,YELLOW,🟡,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,SAP HANA Database A1H
P1C,2025-12-30,,Performance Overview P1C,GREEN,🟢,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,Performance Overview A1C
P1C,2025-12-30,,Software Change and Transport Management of P1C,GREEN,🟢,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,Software Change and Transport Management of A1C
P1C,2025-12-30,,Number of Changes,GREEN,🟢,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,
P1C,2025-12-30,,Emergency Changes,GREEN,🟢,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,
P1C,2025-12-30,,Failed Changes,GREEN,🟢,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,
P1C,2025-12-30,,Software Configuration for P1C,RED,🔴,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,Software Configuration for A1C
P1C,2025-12-30,,SAP Application Release - Maintenance Phases,GREEN,🟢,EWA_P1C~ABAP_20251230_Very Critical (Red).htm,Upgrade Planning
