system,report_date,section,kpi_text,status_name,status_symbol,source_file,primary_kpi
Q1C,2025-12-15,,"Analysis from08.12.2025Until14.12.2025Report:Q1C, ProductiveInstallation:0021277797Session:7000000092787",GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,This                                                                                                                             EarlyWatch Alert session detected issues that could potentially affect your system.Please evaluate the recommendations.,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,We found some Freight Settlement Documents' lifecycle status are inconsistent,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,SAP Software on this system is outdated. Support with SAP Security Notes is no longer ensured.,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,SAP HANA database: User SYSTEM is active and valid.,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,"Users with critical authorizations, which allow to do anything in client 000",RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,"Users with critical authorizations, which allow to do anything in other client(s) than 000",RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,"Users with critical authorizations, which should not be used in production in client 000",RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,"Users with critical authorizations, which should not be used in production in other client(s) than 000",RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,SAP HANA database: Some issues for operating or administration in terms of data backup/recovery have been detected.,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,13983  Transportation Management relevant Post Processing Framework actions are scheduled but not processed,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Software Change and Transport Management of A1C
Q1C,2025-12-15,,255  Transportation Management relevant inbound bgRFCs are in error state,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Software Change and Transport Management of A1C
Q1C,2025-12-15,,45011  Freight Order Management and 60  Freight Settlement documents are open more than one year,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Some Transportation Management relevant important Jobs are not scheduled,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Software Change and Transport Management of A1C
Q1C,2025-12-15,,1337  Transportation Management Post Processing Framework actions are in error state,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Software Change and Transport Management of A1C
Q1C,2025-12-15,,We found more than 30 ABAP dumps in your system.,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,SAP HANA database: Parameters are not set in accordance with the recommendation.,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SAP HANA database: Consistency checks are scheduled without the global consistency check.,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
