report_date,clean_section,severity,final_status,status_symbol
2025-09-30,Activated But Unused Icf Services In Ui5 Apps,2,YELLOW,🟡
2025-09-30,Activation Status And Validity Of User System,3,RED,🔴
2025-09-30,Age Of Support Packages,2,YELLOW,🟡
2025-09-30,Backup And Recovery,2,YELLOW,🟡
2025-09-30,Column Tables With Largest Delta Stores,1,GREEN,🟢
2025-09-30,Configuring A1C For SAP Note Assistant,1,GREEN,🟢
2025-09-30,Cpu Usage Of SAP HANA Server,1,GREEN,🟢
2025-09-30,"Critical Authorizations, Which Allow To Do Anything",3,RED,🔴
2025-09-30,"Critical Authorizations, Which Should Only See Very Limited Use In Production",2,YELLOW,🟡
2025-09-30,Data Quality,1,GREEN,🟢
2025-09-30,Database - Maintenance Phases,1,GREEN,🟢
2025-09-30,Db Load Profile,1,GREEN,🟢
2025-09-30,Diagnosis Files,2,YELLOW,🟡
2025-09-30,Disk Configuration,1,GREEN,🟢
2025-09-30,Disk Usage,1,GREEN,🟢
2025-09-30,Enhanced Hardware Monitoring In Cloud Environments,2,YELLOW,🟡
2025-09-30,Failed Changes,3,RED,🔴
2025-09-30,Financial Data Quality,2,YELLOW,🟡
2025-09-30,Fiori Checks For A1C,2,YELLOW,🟡
2025-09-30,Global Consistency Check Run,3,RED,🔴
2025-09-30,HANA Database Version For A1H,1,GREEN,🟢
2025-09-30,HANA Database Version For D1H,1,GREEN,🟢
2025-09-30,HANA Database Version For Q1H,1,GREEN,🟢
2025-09-30,HANA Database Version For S2H,1,GREEN,🟢
2025-09-30,Hardware Capacity,1,GREEN,🟢
2025-09-30,Http/2 Support,1,GREEN,🟢
2025-09-30,Important Periodic Jobs,2,YELLOW,🟡
2025-09-30,Important SAP Notes For SAP HANA,1,GREEN,🟢
2025-09-30,Largest Non-Partitioned Column Tables (Records),1,GREEN,🟢
2025-09-30,License Information,1,GREEN,🟢
2025-09-30,Memory Allocation Of Tables,1,GREEN,🟢
2025-09-30,Memory Consumption Of Indexserver,2,YELLOW,🟡
