system,report_date,KPI name,status_name,status_symbol,source_file,severity,row_id
A1C,2025-09-30,Financial Data Quality,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,2,1
A1C,2025-09-30,Hardware Capacity,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,2,2
A1C,2025-09-30,Performance Overview,GREEN,🟢,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,1,3
A1C,2025-09-30,SAP HANA Database,RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,3,4
A1C,2025-09-30,SAP Netweaver Gateway,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,2,5
A1C,2025-09-30,SAP System Operating,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,2,6
A1C,2025-09-30,Security,RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,3,7
A1C,2025-09-30,Service Data Quality and Service Readiness,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,2,8
A1C,2025-09-30,Software Change and Transport Management,RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,3,9
A1C,2025-09-30,Software Configuration,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,2,10
A1C,2025-09-30,UI Technologies checks,RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,3,11
A1C,2025-09-30,Upgrade Planning,RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,3,12
A1C,2025-10-07,Financial Data Quality,YELLOW,🟡,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,2,13
A1C,2025-10-07,Hardware Capacity,YELLOW,🟡,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,2,14
A1C,2025-10-07,Performance Overview,GREEN,🟢,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,1,15
A1C,2025-10-07,SAP HANA Database,RED,🔴,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,3,16
A1C,2025-10-07,SAP Netweaver Gateway,YELLOW,🟡,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,2,17
A1C,2025-10-07,SAP System Operating,YELLOW,🟡,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,2,18
A1C,2025-10-07,Security,RED,🔴,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,3,19
A1C,2025-10-07,Service Data Quality and Service Readiness,YELLOW,🟡,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,2,20
A1C,2025-10-07,Software Change and Transport Management,RED,🔴,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,3,21
A1C,2025-10-07,Software Configuration,YELLOW,🟡,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,2,22
A1C,2025-10-07,UI Technologies checks,RED,🔴,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,3,23
A1C,2025-10-07,Upgrade Planning,RED,🔴,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,3,24
A1C,2025-10-14,Financial Data Quality,YELLOW,🟡,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,2,25
A1C,2025-10-14,Hardware Capacity,YELLOW,🟡,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,2,26
A1C,2025-10-14,Performance Overview,GREEN,🟢,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,1,27
A1C,2025-10-14,SAP HANA Database,RED,🔴,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,3,28
A1C,2025-10-14,SAP Netweaver Gateway,YELLOW,🟡,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,2,29
A1C,2025-10-14,SAP System Operating,YELLOW,🟡,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,2,30
A1C,2025-10-14,Security,RED,🔴,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,3,31
A1C,2025-10-14,Service Data Quality and Service Readiness,YELLOW,🟡,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,2,32
A1C,2025-10-14,Software Change and Transport Management,YELLOW,🟡,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,2,33
A1C,2025-10-14,Software Configuration,YELLOW,🟡,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,2,34
A1C,2025-10-14,UI Technologies checks,YELLOW,🟡,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,2,35
A1C,2025-10-14,Upgrade Planning,RED,🔴,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,3,36
A1C,2025-10-21,Financial Data Quality,YELLOW,🟡,EWA_A1C~ABAP_20251021_Critical (Yellow).htm,2,37
